"consolidation","contest","candidate","type","votes"
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",297
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",35
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",10
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",546
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",302
"110140-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",29
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",9
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",495
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",317
"110150-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",41
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",7
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",427
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",328
"110190-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",30
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",444
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",321
"110210-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",35
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",496
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",386
"110240-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",44
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",9
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",292
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",275
"110270-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",38
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",17
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",465
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",267
"110310-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",27
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",15
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",532
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",286
"110340-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",34
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",13
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",296
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",190
"110350-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",30
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",14
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",495
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",342
"110380-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",43
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",11
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",409
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",213
"110410-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",49
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",5
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",274
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",177
"110420-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",22
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",3
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",270
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",238
"110490-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",18
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",6
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",270
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",215
"110510-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",24
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",434
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",297
"110520-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",25
"110550-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
